Loyalty_Card,Implied_Gender,Residence_Type,Age,Discount_Prg,Celebrated_Valentines,Pregnancy_Test,Birth_Control,Feminine_Hygiene,ThanksGiving_Shopping,Number_Shopping_trips,Folic_Acid,Prenatal_Vitamins,Prenatal_Yoga,Body_Pillow,Ginger_Ale,Nausea_tablets,Stopped_buying_ciggies,Cigarettes,Smoking_Cessation,Stopped_buying_wine,Wine,Maternity_Clothes,PREGNANT
WalG838038,Unknown,Apartment,53,Yes,Yes,Yes,Yes,Yes,Yes,40,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
WalG838038,Female,Apartment,63,Yes,No,No,Yes,Yes,Yes,42,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
WalG838038,Male,Home,39,Yes,Yes,Yes,Yes,Yes,Yes,94,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
WalG838038,Unknown,Home,61,Yes,No,Yes,Yes,Yes,No,47,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
WalG838038,Unknown,Apartment,65,Yes,Yes,Yes,Yes,Yes,Yes,88,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838039,Female,Apartment,65,Yes,Yes,No,Yes,Yes,No,74,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No
WalG838039,Male,Apartment,58,Yes,No,Yes,Yes,Yes,Yes,77,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
WalG838040,Female,Home,48,Yes,Yes,Yes,No,Yes,No,36,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838040,Male,Home,33,No,Yes,Yes,Yes,Yes,Yes,70,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
WalG838042,Unknown,Apartment,66,Yes,Yes,Yes,Yes,Yes,No,33,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
WalG838042,Female,Home,76,Yes,Yes,Yes,Yes,Yes,Yes,95,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
WalG838043,Male,Home,22,Yes,Yes,Yes,Yes,Yes,Yes,73,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
WalG838043,Unknown,Home,38,Yes,Yes,No,Yes,No,Yes,47,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
WalG838043,Unknown,Home,28,Yes,Yes,Yes,Yes,Yes,Yes,74,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No
WalG838043,Male,Home,75,Yes,Yes,Yes,Yes,Yes,Yes,77,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838045,Male,Apartment,37,No,Yes,No,Yes,Yes,No,26,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No
WalG838045,Female,Home,73,Yes,Yes,Yes,Yes,Yes,No,53,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838047,Female,Apartment,60,Yes,Yes,No,Yes,Yes,Yes,83,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838047,Unknown,Apartment,70,Yes,No,Yes,Yes,Yes,Yes,41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
WalG838048,Male,Home,31,Yes,No,Yes,Yes,Yes,Yes,95,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
WalG838048,Male,Apartment,60,Yes,Yes,No,Yes,Yes,Yes,89,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
WalG838049,Female,Home,78,Yes,No,Yes,Yes,Yes,Yes,67,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
WalG838049,Male,Apartment,40,Yes,Yes,Yes,Yes,Yes,No,103,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838050,Female,Home,42,No,Yes,Yes,Yes,Yes,Yes,58,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
WalG838052,Female,Apartment,54,Yes,Yes,No,Yes,Yes,Yes,73,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838053,Male,Home,78,Yes,Yes,Yes,No,Yes,Yes,58,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838053,Unknown,Apartment,52,Yes,Yes,Yes,No,Yes,Yes,66,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
WalG838054,Male,Apartment,32,Yes,Yes,Yes,Yes,Yes,Yes,67,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838054,Male,Home,22,No,Yes,Yes,Yes,Yes,No,32,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No
WalG838055,Male,PO Box,57,Yes,Yes,Yes,Yes,Yes,Yes,87,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
WalG838057,Female,PO Box,78,Yes,No,Yes,Yes,Yes,Yes,97,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
WalG838058,Male,Home,29,Yes,Yes,Yes,Yes,Yes,Yes,53,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
WalG838059,Male,Apartment,28,Yes,Yes,Yes,Yes,Yes,No,42,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
WalG838070,Female,Apartment,62,No,Yes,No,Yes,Yes,Yes,85,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
WalG838072,Male,Home,73,Yes,Yes,No,Yes,Yes,Yes,45,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
WalG838073,Male,Home,42,Yes,Yes,Yes,Yes,Yes,No,51,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
WalG838073,Male,PO Box,76,Yes,No,Yes,Yes,Yes,Yes,51,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
WalG838074,Male,PO Box,51,Yes,Yes,Yes,Yes,Yes,Yes,32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838074,Male,Apartment,27,Yes,Yes,Yes,No,Yes,Yes,71,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838075,Female,Apartment,23,Yes,Yes,Yes,Yes,Yes,Yes,83,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No
WalG838077,Male,Apartment,35,Yes,No,Yes,Yes,Yes,Yes,93,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
WalG838078,Male,Home,55,Yes,Yes,Yes,Yes,Yes,Yes,56,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838079,Female,PO Box,59,Yes,Yes,Yes,Yes,Yes,Yes,101,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
WalG838080,Unknown,Home,62,No,Yes,Yes,Yes,Yes,Yes,27,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
WalG838082,Male,Home,64,Yes,Yes,Yes,Yes,Yes,Yes,42,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838083,Male,Apartment,44,Yes,Yes,Yes,Yes,Yes,No,74,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838083,Male,Home,68,Yes,No,Yes,Yes,Yes,Yes,38,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
WalG838084,Female,Apartment,78,Yes,No,Yes,Yes,Yes,Yes,90,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
WalG838084,Male,Home,53,Yes,Yes,Yes,Yes,Yes,Yes,61,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
WalG838085,Female,PO Box,70,Yes,Yes,No,Yes,Yes,Yes,55,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No
WalG838087,Male,PO Box,57,Yes,No,Yes,Yes,Yes,Yes,76,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
WalG838088,Male,Apartment,31,Yes,Yes,Yes,Yes,Yes,No,33,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838089,Female,Apartment,51,Yes,No,Yes,Yes,Yes,Yes,79,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
WalG838090,Female,Apartment,71,Yes,Yes,Yes,Yes,Yes,No,74,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838092,Unknown,Home,65,Yes,Yes,Yes,No,Yes,Yes,78,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838093,Male,Apartment,23,Yes,No,Yes,Yes,Yes,Yes,82,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
WalG838093,Male,Apartment,40,Yes,Yes,Yes,Yes,Yes,Yes,91,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838094,Female,Home,63,Yes,Yes,Yes,Yes,Yes,No,86,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838094,Male,Home,35,Yes,No,Yes,Yes,Yes,Yes,29,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
WalG838095,Male,Home,64,Yes,Yes,Yes,Yes,Yes,Yes,89,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
WalG838097,Male,Apartment,24,Yes,Yes,Yes,Yes,Yes,No,101,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838098,Male,Home,50,No,Yes,Yes,Yes,Yes,Yes,34,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
WalG838099,Female,Apartment,47,No,No,Yes,Yes,Yes,No,32,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No
WalG838200,Female,Apartment,78,Yes,No,Yes,Yes,Yes,Yes,40,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No
WalG838202,Unknown,Apartment,68,Yes,Yes,Yes,Yes,Yes,Yes,65,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
WalG838203,Male,Home,69,Yes,Yes,Yes,Yes,Yes,Yes,88,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838203,Male,Home,52,Yes,Yes,Yes,Yes,Yes,Yes,65,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
WalG838204,Male,Home,67,Yes,Yes,Yes,Yes,Yes,Yes,36,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
WalG838204,Male,Apartment,38,Yes,Yes,Yes,Yes,Yes,Yes,86,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
WalG838205,Female,Home,56,Yes,Yes,Yes,Yes,Yes,No,56,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838207,Male,Home,54,Yes,Yes,Yes,Yes,Yes,No,43,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838208,Male,Home,27,Yes,Yes,Yes,Yes,Yes,Yes,52,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
WalG838209,Male,Apartment,50,Yes,Yes,Yes,Yes,Yes,Yes,32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838220,Male,Home,50,Yes,Yes,Yes,Yes,Yes,Yes,73,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838222,Male,Home,69,Yes,Yes,No,Yes,Yes,Yes,31,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838223,Male,Apartment,32,Yes,Yes,Yes,Yes,Yes,Yes,86,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838223,Female,Apartment,31,Yes,Yes,Yes,Yes,Yes,Yes,78,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838224,Male,Home,52,Yes,Yes,Yes,Yes,Yes,Yes,38,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
WalG838224,Male,Apartment,70,Yes,No,Yes,Yes,Yes,Yes,26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
WalG838225,Female,Apartment,73,Yes,Yes,Yes,Yes,Yes,No,94,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838227,Female,Home,42,Yes,Yes,Yes,Yes,Yes,Yes,38,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838228,Male,PO Box,23,No,Yes,Yes,Yes,Yes,No,75,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
WalG838229,Female,Home,50,Yes,Yes,Yes,Yes,Yes,Yes,46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838230,Male,Home,63,Yes,Yes,Yes,Yes,Yes,Yes,46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838230,Male,Home,31,Yes,Yes,Yes,Yes,Yes,Yes,76,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
WalG838232,Male,Home,37,Yes,Yes,No,Yes,Yes,No,35,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838232,Female,Apartment,64,Yes,No,Yes,Yes,Yes,Yes,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
WalG838233,Unknown,Home,64,Yes,Yes,Yes,Yes,Yes,No,51,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838233,Male,Home,73,Yes,Yes,Yes,Yes,Yes,Yes,64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838233,Female,Home,24,Yes,Yes,Yes,Yes,Yes,Yes,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838233,Male,Home,51,Yes,Yes,Yes,Yes,Yes,Yes,66,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
WalG838234,Male,Home,33,No,Yes,Yes,Yes,Yes,Yes,41,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No
WalG838234,Female,Home,47,No,Yes,Yes,Yes,Yes,Yes,47,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
WalG838234,Female,Apartment,54,Yes,Yes,Yes,No,Yes,Yes,43,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838234,Male,PO Box,52,Yes,Yes,Yes,No,Yes,Yes,32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838235,Male,Home,23,Yes,Yes,Yes,Yes,Yes,Yes,32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838235,Female,Apartment,28,Yes,Yes,Yes,No,Yes,Yes,97,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838237,Male,PO Box,67,Yes,No,Yes,Yes,Yes,No,60,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
WalG838237,Female,Apartment,65,Yes,No,Yes,Yes,No,Yes,39,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
WalG838238,Male,Home,27,Yes,Yes,Yes,Yes,Yes,No,102,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838238,Female,Home,36,Yes,Yes,Yes,Yes,Yes,Yes,84,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838238,Female,Home,78,Yes,Yes,Yes,Yes,Yes,Yes,87,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
WalG838238,Female,Home,40,Yes,Yes,Yes,Yes,Yes,Yes,79,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838238,Male,Apartment,64,Yes,Yes,Yes,Yes,No,No,90,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838238,Male,Home,48,Yes,Yes,Yes,No,Yes,Yes,56,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838239,Female,Home,36,Yes,Yes,Yes,Yes,Yes,No,83,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
WalG838239,Female,Apartment,26,Yes,Yes,Yes,No,Yes,Yes,96,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838240,Male,Apartment,55,Yes,Yes,Yes,Yes,Yes,Yes,80,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838240,Female,Home,61,Yes,Yes,Yes,Yes,No,Yes,95,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838242,Male,Apartment,57,Yes,No,Yes,No,Yes,Yes,37,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
WalG838242,Male,Apartment,70,Yes,Yes,Yes,Yes,Yes,Yes,91,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838243,Female,Home,32,Yes,Yes,Yes,Yes,Yes,Yes,101,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838243,Female,Home,35,Yes,Yes,Yes,Yes,Yes,Yes,36,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838243,Female,Home,57,Yes,Yes,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838243,Female,Apartment,70,Yes,Yes,Yes,Yes,Yes,Yes,61,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838245,Female,Home,39,Yes,Yes,Yes,Yes,Yes,Yes,103,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
WalG838245,Female,Home,23,Yes,Yes,Yes,Yes,Yes,Yes,93,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WalG838247,Female,Home,30,Yes,Yes,Yes,Yes,No,Yes,94,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
